target_id,parameters,units,manual_value,notes
k_MDSC_mig,k_MDSC_mig,cell/(milliliter*day),21000 11,"Rate of MDSC recruitment into the tumor (Diaz-Montero 2009, PMID: 18446337; Huang 2006, PMID: 17257744)"
k_P1_d1,k_P1_d1,nanomolarity,100 8,"Antigen-MHC kd (Stone 2015, PMID: 25618219)"
M_PD1_total,M_PD1_total,molecule,1.5e3 - 6.2e4,"PD-1 expression on macrophages estimated based on PD-1 expression on T cell (Cheng 2014, PMID: 23417675; Mkrtichyan 2012, PMID: 22837483) and adjusted"
N_IL2_CD4,N_IL2_CD4,dimensionless, 7 - 10,"maximum number of activated T cell generations due to IL2 (Marchingo 2014, PMID: 25430770)"
N_IL2_CD8,N_IL2_CD8,dimensionless, 10 - 12,"maximum number of activated T cell generations due to IL2 (Marchingo 2014, PMID: 25430770)"
n_T0_clones,n_T0_clones,dimensionless,63 9,Number of T cell clones (estimated)
n_T1_clones,n_T1_clones,dimensionless,21-208 16,"Number of T cell clones (Morisaki 2021 PMID: 34193879; Narang 2019, PMID: 30832597)"
q_P_aCTLA4,q_P_aCTLA4,liter/second,,"Capillary filtration rate of aCTLA4 between central and peripheral compartment(Wang 2014, PMID: 24737343)"
q_P_aPD1,q_P_aPD1,liter/second,,"Capillary filtration rate of aPD1 between central and peripheral compartment(Ahamadi 2016, PMID: 27863186)"
q_P_aPDL1,q_P_aPDL1,liter/second,,Capillary filtration rate of aPDL1 between central and peripheral compartment
q_T_aCTLA4,q_T_aCTLA4,milliliter/second,,"Capillary filtration rate of aCTLA4 between central and tumor compartment(Wang 2019, PMID: 31218069)"
q_T_aPD1,q_T_aPD1,milliliter/second,,"Capillary filtration rate of aPD1 between central and tumor compartment(Wang 2019, PMID: 31218069)"
q_T_aPDL1,q_T_aPDL1,milliliter/second,,"Capillary filtration rate of aPDL1 between central and tumor compartment(Wang 2019, PMID: 31218069)"
q_T_TCE,q_T_TCE,1/second,,"Volumetric flow rate of T cell engager between central and tumor compartment(Weddell 2023, doi.org/10.1002/psp4.12928)"
q_T0_T_in,q_T0_T_in,1/(centimeter^3*minute),2.5-6.5% 14,"rate of T0 transport into the tumor compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density ("
q_T1_T_in,q_T1_T_in,1/(centimeter^3*minute),0.0001305,"rate of T1 transport into the tumor compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density ("
r_PDL2APC,r_PDL2APC,dimensionless,0.07,"PDL2/PDL1 molecule ratio on APCcell (Cheng 2014, PMID: 23417675)"
T_PD1_total,T_PD1_total,molecule,0-400 19 ,"concentration of PD1 on T cells (Cheng 2014, PMID: 23417675; Mkrtichyan 2012, PMID: 22837483; Gatalica 2014, PMID: 25392179)"
T_PDL1_total,T_PDL1_total,molecule,79980,"concentration of PDL1 on T cells (Cheng 2014, PMID: 23417675; Mkrtichyan 2012, PMID: 22837483; Gatalica 2014, PMID: 25392179)"
TGFbase,TGFbase,nanomolarity,0.016,"Baseline TGFb level in breast tumor (Ivanović 2003, PMID: 12751375; Manuyakorn 2008, PMID: 19317336; Panis 2013, PMID: 23393376)"
V_LN,V_LN,millimeter^3,"916.2979-1357.58 6, 21, 22",Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs and average LN diameter (Schmidt 2007
Ve_T,Ve_T,dimensionless,0.017-0.529,"Void fraction of the tumor (Zhang 2010, PMID: 20713014)"
vol_cell,vol_cell,micrometer^3/cell,2642.08,Average volume of cancer cell Volume of a cancer cell calculated based on cancer cell diameter
